"ID","正式名称","正式名称（フリガナ）","略称","略称（フリガナ）","英語表記（ローマ字表記）","機関区分","都道府県コード","市区町村コード","所在地","所在地座標（緯度）","所在地座標（経度）","案内用ホームページアドレス","毎週決まった曜日に休診（月）","毎週決まった曜日に休診（火）","毎週決まった曜日に休診（水）","毎週決まった曜日に休診（木）","毎週決まった曜日に休診（金）","毎週決まった曜日に休診（土）","毎週決まった曜日に休診（日）","決まった週に休診（定期週）第1週（月）","決まった週に休診（定期週）第1週（火）","決まった週に休診（定期週）第1週（水）","決まった週に休診（定期週）第1週（木）","決まった週に休診（定期週）第1週（金）","決まった週に休診（定期週）第1週（土）","決まった週に休診（定期週）第1週（日）","決まった週に休診（定期週）第2週（月）","決まった週に休診（定期週）第2週（火）","決まった週に休診（定期週）第2週（水）","決まった週に休診（定期週）第2週（木）","決まった週に休診（定期週）第2週（金）","決まった週に休診（定期週）第2週（土）","決まった週に休診（定期週）第2週（日）","決まった週に休診（定期週）第3週（月）","決まった週に休診（定期週）第3週（火）","決まった週に休診（定期週）第3週（水）","決まった週に休診（定期週）第3週（木）","決まった週に休診（定期週）第3週（金）","決まった週に休診（定期週）第3週（土）","決まった週に休診（定期週）第3週（日）","決まった週に休診（定期週）第4週（月）","決まった週に休診（定期週）第4週（火）","決まった週に休診（定期週）第4週（水）","決まった週に休診（定期週）第4週（木）","決まった週に休診（定期週）第4週（金）","決まった週に休診（定期週）第4週（土）","決まった週に休診（定期週）第4週（日）","決まった週に休診（定期週）第5週（月）","決まった週に休診（定期週）第5週（火）","決まった週に休診（定期週）第5週（水）","決まった週に休診（定期週）第5週（木）","決まった週に休診（定期週）第5週（金）","決まった週に休診（定期週）第5週（土）","決まった週に休診（定期週）第5週（日）","祝日に休診","その他の休診日（gw、お盆等）","一般病床","療養病床","療養病床のうち医療保険適用","療養病床のうち介護保険適用","精神病床","結核病床","感染症病床","合計病床数"
"4411013700000","医療法人　起愛会　宇佐病院","イリョウホウジン　キアイカイ　ウサビョウイン","","","iryohojin kiaikai usabyoin","1","44","211","大分県宇佐市南宇佐１６５５","33.531522","131.374168","http://usa-psy.com/","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","","248","0","0","248"
"4411013800000","医療法人　興仁会　桑尾病院","イリョウホウジンコウジンカイクワオビョウイン","","","Kuwao Hospital","1","44","211","大分県宇佐市四日市１１８","33.534604","131.326788","http://www.kuwao.jp/","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","32","","","0","0","0","32"
"4411013900000","医療法人　信和会　和田病院","イリョウホウジン　シンワカイ　ワダビョウイン","","","Wada Hospital","1","44","211","大分県宇佐市出光１６５番地の１","33.529447","131.412106","https://wadahp.com/","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","","毎週土曜日午後休診、年末年始、ＧＷは休診となります。","33","71","","","0","0","0","104"
"4411014100000","佐藤第一病院","サトウダイイチビョウイン","","","Sato Daiichi Hospital","1","44","211","大分県宇佐市大字法鏡寺７７の１","33.526400","131.343326","https://sato-d1.com","1","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","90","40","","","0","0","0","130"
"4411014200000","宇佐高田医師会病院","ウサタカダイシカイビョウイン","","","Usatakada Medical Association Hospital","1","44","211","大分県宇佐市南宇佐６３５","33.526907","131.385970","http://www.utihp.jp/","1","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","12月30日、12月31日、1月1日、1月2日、1月3日","106","0","0","0","0","0","4","110"
"4411014300000","宇佐中央内科病院","ウサチュウオウナイカビョウイン","","","Usa chyuuou naika hospital","1","44","211","大分県宇佐市江須賀","33.555453","131.356963","http://usa-chyuou.webmedipr.jp","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","48","0","","","0","0","0","48"
"4411014400000","小野内科病院","オノナイカビョウイン","","","Ononaika Hospital","1","44","211","大分県宇佐市南敷田７０５－１","33.549357","131.278770","https://ono-naika.jp/","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","お盆（8/13～8/15）、年末年始（12/31～1/3）","30","20","","","0","0","0","50"
"4411014800000","帰巖会　みえ病院","キガンカイ　ミエビョウイン","","","kigankai mie hospital","1","44","212","大分県豊後大野市三重町赤嶺１２５０番地１","32.988199","131.600723","http://kigankai.or.jp/","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","110","0","","","0","0","0","110"
"4411014900000","豊後大野市民病院","ブンゴオオノシミンビョウイン","","","","1","44","212","大分県豊後大野市緒方町馬場２７６番地","32.969883","131.476212","http://www.bungo-ohno-hp.jp/","1","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","156","39","","","0","0","4","199"
"4411015000000","福島病院","フクシマビョウイン","","","Fukushima Hospital","1","44","212","大分県豊後大野市三重町市場２３１番地","32.981504","131.586661","https://www.shinseikai-fukushima.com/","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","お盆休診：8/14～8/15、年末年始休診：12/31～1/3","60","0","0","0","0","0","0","60"
