,総　　数,,,,施 設 長,,,,医　　師,,,,歯科医師,,,,生活相談員,,,,社会福祉士(再掲),,,,看護師,,,,准看護師,,,,介護職員,,,,介護福祉士(再掲),,,,管理栄養士,,,,栄 養 士,,,,歯科衛生士,,,,機能訓練指導員,,,,理学療法士(再掲),,,,作業療法士(再掲),,,,言語聴覚士(再掲),,,,看護師(再掲),,,,准看護師(再掲),,,,柔道整復師(再掲),,,,あん摩ﾏｯｻｰｼﾞ指圧師(再掲),,,,はり師・きゅう師(再掲),,,,障害者生活支援員,,,,介護支援専門員,,,,調 理 員,,,,その他の職員,,,
,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤
,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,
　　和　歌　山,4933,2391,1287,1255,94,28,66,-,148,2,6,140,5,-,1,4,135,60,74,1,18,4,14,-,322,148,78,95,165,47,61,57,2959,1752,612,595,1819,1201,377,241,101,53,44,4,26,15,10,1,15,3,7,4,130,33,61,36,36,13,10,13,8,5,2,1,1,-,-,1,28,3,16,9,31,2,21,8,14,5,7,1,6,3,2,1,5,2,2,1,1,1,-,-,171,42,121,8,300,114,58,127,361,93,87,182
　　鳥　　　取,2700,1346,799,555,44,12,32,-,60,6,2,52,7,-,-,7,71,19,50,2,23,8,15,-,148,60,54,34,101,37,43,21,1548,1006,351,191,1189,854,270,65,62,26,31,5,13,4,9,-,9,2,4,3,56,30,23,3,20,10,7,3,16,11,5,-,5,2,3,-,7,3,4,-,3,1,2,-,-,-,-,-,4,2,2,-,1,1,-,-,3,2,1,-,90,32,58,-,200,54,84,62,288,56,57,175
　　島　　　根,4672,2048,1356,1268,92,27,65,-,142,-,2,140,12,-,1,11,126,57,67,2,20,3,15,1,251,84,99,68,180,78,49,53,2611,1411,636,564,1671,1020,456,196,89,44,45,-,31,19,12,-,10,2,7,1,138,50,67,21,33,20,11,2,31,13,16,1,9,3,5,-,33,8,14,11,26,4,15,7,1,-,1,-,4,2,2,-,1,-,1,-,-,-,-,-,133,55,76,2,355,113,90,152,504,108,141,254
　　岡　　　山,8316,4378,1819,2119,155,72,82,1,221,4,2,215,13,-,-,13,257,121,131,5,83,34,45,3,563,228,116,219,294,114,73,107,4910,3203,776,931,3143,2242,527,374,231,121,91,20,36,19,15,2,22,5,3,13,219,70,88,61,43,26,10,7,27,12,6,8,4,-,1,3,59,11,29,19,70,11,38,21,9,5,3,1,5,3,-,2,1,1,-,-,-,-,-,-,259,84,168,7,406,151,120,135,727,186,153,389
　　広　　　島,10717,5322,2480,2914,198,113,84,1,277,9,1,267,24,1,-,23,330,152,165,14,129,61,61,6,570,261,162,146,420,180,139,101,6213,3740,1090,1383,3909,2552,780,577,255,168,69,18,53,29,16,8,24,4,6,13,307,94,145,68,45,16,15,14,24,16,6,1,2,2,-,-,111,27,62,22,102,18,57,27,11,6,2,2,10,5,2,2,2,2,-,-,-,-,-,-,343,74,260,9,630,229,124,277,1074,268,218,588
　　山　　　口,5770,2326,2017,1427,106,28,77,1,178,1,1,176,14,-,-,14,177,56,117,4,63,21,41,1,290,122,112,56,219,58,112,49,3285,1700,943,641,2201,1277,670,254,116,48,65,2,33,13,17,3,5,2,1,2,165,43,99,24,30,15,7,7,5,3,2,-,6,4,-,2,48,4,35,9,70,15,50,4,4,1,3,-,1,-,-,1,-,-,-,-,-,-,-,-,188,33,152,3,383,86,136,162,610,136,184,290
　　徳　　　島,3348,1628,794,925,66,24,42,-,121,-,1,119,8,-,2,6,93,49,42,2,16,1,14,1,184,80,46,59,139,50,30,59,1743,1051,382,310,1136,701,294,141,82,52,23,7,20,11,8,1,17,-,6,11,86,41,30,16,27,14,9,5,19,10,8,1,2,-,1,1,16,10,5,1,19,7,7,6,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,112,34,68,9,297,125,55,117,379,110,60,208
　　香　　　川,4418,2042,1222,1154,90,26,64,-,163,-,4,159,7,-,-,7,145,60,79,5,41,21,19,1,262,122,64,76,178,71,54,53,2516,1450,546,520,1649,1058,371,220,116,55,56,5,22,5,15,2,6,1,1,4,122,42,59,20,15,6,2,6,15,12,2,1,-,-,-,-,47,14,25,7,39,5,29,5,3,3,-,-,3,2,1,-,-,-,-,-,-,-,-,-,168,38,119,12,344,122,76,146,278,50,85,144
　　愛　　　媛,5609,2377,1788,1444,110,41,69,-,203,1,2,200,15,-,-,15,165,54,107,4,39,10,28,1,312,139,100,72,201,79,69,53,3209,1666,925,618,2060,1158,662,239,132,64,61,6,23,9,12,2,13,1,3,9,153,42,83,28,30,16,5,9,29,15,6,8,4,-,4,-,43,6,32,4,42,4,31,6,3,-,3,-,1,-,-,1,-,-,-,-,-,-,-,-,201,46,147,8,354,101,112,140,520,134,97,289
　　高　　　知,3406,1498,1200,708,59,21,38,-,104,1,1,102,5,-,-,5,94,34,58,2,21,5,16,-,180,71,86,24,86,34,30,21,2022,1093,644,285,1538,874,557,107,65,28,32,5,15,3,12,-,6,2,2,2,83,30,36,16,36,14,13,10,8,4,2,1,4,2,2,-,21,6,13,2,9,2,4,2,3,1,2,-,1,-,-,1,-,-,-,-,-,-,-,-,99,33,63,2,237,73,93,71,350,73,105,172
　　福　　　岡,17951,9928,3684,4339,345,163,178,3,480,4,10,466,18,-,1,17,527,275,238,14,144,82,57,4,1050,570,228,252,752,388,178,185,10708,6918,1686,2104,6502,4659,1092,751,434,267,146,21,71,43,27,1,27,12,5,10,472,204,172,95,144,79,34,31,90,45,23,22,6,2,2,2,101,27,53,21,91,21,55,15,28,25,3,-,11,4,2,4,1,1,-,-,2,1,-,1,504,246,242,16,992,394,218,380,1569,442,353,774
　　佐　　　賀,3337,1469,1124,744,58,35,23,-,89,3,1,84,3,-,-,3,101,32,67,2,20,5,14,-,160,66,55,39,125,56,43,26,1919,1020,523,376,1325,767,395,163,82,36,44,2,33,9,23,1,3,1,2,-,97,15,60,22,22,3,7,12,8,2,5,-,2,-,1,1,32,3,25,3,30,7,19,4,4,-,3,1,-,-,-,-,-,-,-,-,1,1,-,-,103,27,74,1,291,95,121,74,271,72,88,112
　　長　　　崎,5960,1957,2518,1485,122,37,85,-,159,2,-,157,5,-,-,5,159,37,118,4,28,10,17,-,331,124,139,68,239,68,112,59,3144,1306,1246,593,2073,935,890,248,117,35,78,4,77,28,45,4,11,4,-,7,215,40,131,44,45,15,13,16,13,3,6,4,4,-,4,-,79,9,50,19,68,9,54,4,3,2,1,-,3,1,2,-,-,-,-,-,-,-,-,-,158,53,101,3,534,100,237,197,688,123,226,339
