病院コード,病院名,都道府県,構想区域,異常パターン,R4(2022)_高度急性期,R4(2022)_急性期,R4(2022)_回復期,R4(2022)_慢性期,R4(2022)_合計,R5(2023)_高度急性期,R5(2023)_急性期,R5(2023)_回復期,R5(2023)_慢性期,R5(2023)_合計,R6(2024)_高度急性期,R6(2024)_急性期,R6(2024)_回復期,R6(2024)_慢性期,R6(2024)_合計,R4_R6_完全一致,R5のみ異なる
3535010019,国立病院機構 岩国医療センター,山口,岩国,B: 総数同等・機能区分変動（高度急性期）,266,194,0,24,484,268,194,0,24,486,266,194,0,24,484,YES,YES
2323090017,医療法人大朋会 刈谷整形外科病院,愛知,刈谷市,C: 総数増加（0.0倍）,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,YES,YES
1313090046,医療法人社団創生会 町田病院,東京,南多摩,C: 総数増加（1.1倍）,0,60,60,0,120,0,82,51,0,133,0,60,60,0,120,YES,YES
2222030033,医療法人社団 静岡健生会 三島共立病院,静岡,駿東田方,C: 総数増加（1.1倍）,0,0,54,30,84,0,0,59,30,89,0,0,54,30,84,YES,YES
2727010035,医療法人篤友会坂本病院,大阪,豊中市,C: 総数増加（1.1倍）,0,0,0,229,229,0,0,54,197,251,0,0,0,229,229,YES,YES
2727050006,医療法人宝生会ＰＬ病院,大阪,富田林市,C: 総数増加（1.1倍）,45,240,38,47,370,45,240,38,94,417,45,240,38,47,370,YES,YES
2727080053,医療法人せいわ会大阪たつみリハビリテーション病院,大阪,大阪市,C: 総数増加（1.1倍）,0,0,120,0,120,0,0,132,0,132,0,0,120,0,120,YES,YES
101040258,江別市立病院,北海道,札幌,C: 総数増加（1.2倍）,0,238,0,0,238,0,278,0,0,278,0,238,0,0,238,YES,YES
101040281,自衛隊札幌病院,北海道,札幌,C: 総数増加（1.2倍）,0,99,0,0,99,0,119,0,0,119,0,99,0,0,99,YES,YES
1414050024,総合川崎臨港病院,神奈川,川崎市川崎区,C: 総数増加（1.2倍）,39,160,0,0,199,0,110,55,68,233,39,160,0,0,199,YES,YES
1515010018,新潟聖籠病院,新潟,聖籠町,C: 総数増加（1.2倍）,0,60,60,120,240,0,0,120,180,300,0,60,60,120,240,YES,YES
2323090033,社会医療法人財団新和会八千代病院,愛知,安城市,C: 総数増加（1.2倍）,58,212,98,52,420,58,212,150,104,524,58,212,98,52,420,YES,YES
2727030027,医療法人みどり会中村病院,大阪,枚方市,C: 総数増加（1.2倍）,0,48,113,45,206,0,48,113,90,251,0,48,113,45,206,YES,YES
4040120001,医療法人若葉会 九州鉄道記念病院,福岡,北九州市門司区,C: 総数増加（1.2倍）,0,158,78,0,236,0,217,78,0,295,0,158,78,0,236,YES,YES
4040120130,小倉リハビリテーション病院,福岡,北九州市小倉北区,C: 総数増加（1.2倍）,0,0,158,40,198,0,0,158,80,238,0,0,158,40,198,YES,YES
4343010058,菊南病院,熊本,熊本市北区,C: 総数増加（1.2倍）,0,0,92,58,150,0,0,128,58,186,0,0,92,58,150,YES,YES
1313060096,社会医療法人社団昭愛会 水野記念リハビリテーション病院,東京,足立区,C: 総数増加（1.3倍）,0,0,90,0,90,0,0,120,0,120,0,0,90,0,90,YES,YES
1414060037,社会福祉法人湘南福祉協会総合病院湘南病院,神奈川,横須賀市,C: 総数増加（1.3倍）,0,57,60,50,167,0,57,60,100,217,0,57,60,50,167,YES,YES
3333040003,医療法人社団井口会総合病院落合病院,岡山,真庭市,C: 総数増加（1.3倍）,0,50,45,40,135,0,50,45,80,175,0,50,45,40,135,YES,YES
4040010251,医療法人相生会新吉塚病院,福岡,福岡市博多区,C: 総数増加（1.3倍）,0,0,99,44,143,0,0,146,44,190,0,0,99,44,143,YES,YES
4444030139,大分記念病院,大分,大分市,C: 総数増加（1.3倍）,0,49,35,34,118,0,49,103,0,152,0,49,35,34,118,YES,YES
